PA,Arousal,Valence,Depth
Intens,0.94,-0.06,0.01
Gejaagd,0.92,-0.21,0.04
Krachtig,0.88,-0.02,-0.17
Agressief,0.86,-0.11,-0.2
Boos,0.85,-0.24,-0.3
Schurend,0.84,-0.05,-0.36
Sterk,0.83,0.01,0.03
Zacht,-0.81,-0.28,0.3
Spannend,0.81,0.17,0.06
Teder,-0.8,-0.15,0.48
Manisch,0.79,0.1,-0.12
Kalmerend,-0.75,-0.16,0.45
Warm,-0.67,0.36,0.35
Nadenkend,-0.67,-0.43,0.37
Ontspannend,-0.65,-0.05,0.57
Romantisch,-0.58,-0.07,0.54
Sensueel,-0.52,-0.16,0.17
Vrolijk,0.32,0.87,-0.11
Plezierig,-0.08,0.86,-0.25
Deprimerend,0.11,-0.85,-0.11
Aangenaam,-0.24,0.82,0.19
Blij,-0.3,0.81,0.29
Uitbundig,0.37,0.76,-0.15
Levendig,0.44,0.76,-0.2
Opgewekt,0.52,0.68,0.02
Grappig,0.06,0.63,0
Verdrietig,-0.37,-0.57,0.2
Intelligent,-0.06,0.05,0.89
Elegant,-0.3,0.13,0.84
Inspirerend,-0.03,0.28,0.82
Complex,0.48,0.24,0.66
Poëtisch,-0.46,-0.23,0.66
Diepgaand,-0.28,-0.45,0.65
Dromerig,-0.57,-0.28,0.63
Bedachtzaam,-0.53,0.32,0.6
Feestmuziek,0.34,0.34,-0.57
Ontroerend,-0.32,-0.52,0.54
Dansbaar,0.01,0.52,-0.54
